sample_id,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Sp39
MMRF_1021_1_BM,-0.645710684,-1.232606695,0.633381552,-0.735107401,1.105444015,-0.327250091,1.522837802,-0.495923066,0.0360638,-1.655700724,0.570489056,-0.507919778,-0.122780171,0.679761572,-0.008162493,1.154538352,-0.899677456,0.663402979,-1.794324667,0.570419864,-0.525318003,0.031067361,-0.015188125,-0.434880315,0.435720729,-0.619691198,1.42148654,-0.813197055,-0.731331531,0.631833993,0.809815272,-1.182923532,-1.610758038,0.282415332,1.082894237,-0.308255991,2.08167449,-0.148211144,0.505329268
MMRF_1024_1_BM,-2.145297362,-0.100301957,1.789606337,-2.33409849,-0.227982691,-2.387298936,-0.483910708,0.595814173,1.607782841,-0.928368816,1.10776871,-2.438951401,0.210262203,-0.752157151,-0.800387601,3.111939581,-1.695380651,-0.318763136,-1.265473146,0.858777381,-0.143222523,0.088359669,-1.139980223,-2.167690345,0.850903001,-1.202921049,1.663586385,0.61155078,0.935587791,1.73399539,2.390044576,1.793947028,-1.833560011,0.20165273,-0.883763373,0.621163856,0.967513814,-0.169032436,-0.737760507
MMRF_1029_1_BM,-0.408193678,-0.100194278,-0.010562289,-2.020065827,-0.192495318,-0.055185355,0.185344377,-0.238733354,0.775488488,0.141506359,0.726796545,-0.939473442,-0.812558284,1.434115306,-1.325389286,0.871901209,-0.785870257,0.391330047,-2.009777048,-0.152756881,-0.493296313,0.430998768,1.428251138,-0.707919571,0.560104304,-1.275773122,-0.427418873,-1.685067724,0.47122114,-1.283161754,-0.721757399,-0.720030821,-1.489856954,0.446136835,-1.314793897,-1.981197381,0.436574611,0.509549219,-0.293325674
MMRF_1030_1_BM,-1.200933193,0.618730204,-0.253123799,-1.829950985,0.882012657,-2.334382936,0.937193362,-0.244901212,0.360032915,-0.601260922,0.408125937,-0.021677309,0.660604893,-0.257785181,-1.075487055,0.927245574,-1.582972412,0.727863546,-1.605222218,1.778263272,-1.676402091,-0.363479271,-0.157351357,0.096604184,0.690047074,0.696112973,1.165844164,-0.060310907,-0.70251013,1.641718243,0.239695644,0.696453985,-1.246729368,0.662404756,0.127718506,0.329102034,-0.076313888,0.785755617,-0.480764789
MMRF_1031_1_BM,-1.174165467,-1.573244006,1.383791479,0.513846691,-0.01152752,-1.028135332,0.849955803,0.770418352,0.337986382,-0.248175301,-0.040151385,-1.982903116,0.440530537,3.002948899,-0.19720254,1.469752958,-0.436238499,-3.216109233,-1.271271685,-0.140799264,-0.671939818,1.651762698,-0.508083207,-0.781457047,1.918565527,-0.516659963,-0.858338674,0.856592859,0.487075282,1.105754703,0.631022555,0.508585247,-1.211464789,0.400805284,1.375469215,1.721953557,-0.182445895,0.156290639,2.114264506
MMRF_1032_1_BM,-1.155117356,0.335330675,0.296638194,-0.979644761,0.473449077,-3.034215054,0.944263007,0.241123185,-0.012053539,-0.760061049,0.190972978,-1.27095905,0.816677682,0.345464008,-0.682293167,2.247862928,0.388179639,-0.216679611,-0.857592168,0.394521185,-0.626587524,0.01359824,-0.186240526,-1.252302763,0.99769193,-1.320317446,0.468910233,-1.217268595,-0.769573811,1.702821276,1.533992211,-0.05850561,-3.777817903,0.22946836,0.817080471,-0.969062365,1.734538331,-1.168542236,-1.509845769
MMRF_1033_1_BM,0.425577801,0.773169089,-0.907292011,0.234702674,0.267203346,0.653324195,-0.747196087,-0.49761643,-0.30941195,-0.060595482,-0.767450086,1.73756793,-1.345844381,-0.871933758,-0.30329582,-1.149112052,-1.35202333,1.378870958,1.402387461,0.118804434,-0.229811554,0.290883713,-0.640863271,-0.396357686,0.009360918,0.853523733,0.501903534,0.772786451,0.42273255,-1.421809553,0.298606891,1.320050287,0.324176152,0.180142259,0.347557768,-0.418878345,-0.205228884,0.241687563,0.39833968
MMRF_1037_1_BM,-0.015753794,0.666505599,-0.515129029,-0.352116129,-0.551193607,-0.514129368,0.107080444,0.284055717,-0.883117067,-0.149050812,0.979561551,-0.331404214,-0.447883264,-0.378827872,-0.491307345,-0.1418647,0.001705306,1.770389008,-1.416128011,-0.034248722,-0.137836834,0.233891738,1.673520535,-0.275861505,0.176571567,-2.2072976,0.314959602,-0.216310443,0.045597598,1.391033239,0.634864426,-1.86079922,-1.407220808,-0.578069381,-0.243104978,-0.865950232,0.596031575,0.35293438,-2.251804943
MMRF_1038_1_BM,-0.543782655,0.161227306,0.108699947,-0.701313192,0.620416806,0.063649245,0.340223087,-0.373721957,0.498384269,0.508823146,-0.111229659,-0.520245323,1.476136878,-0.832982852,-0.651910801,1.614444256,1.065415659,0.445954606,-0.109309948,0.268838604,0.488032274,-2.29224051,-0.053820073,0.560612743,-2.161675433,0.614175921,0.905547035,-2.096835449,-1.838342863,0.624684311,-0.638062539,-0.195530573,1.061144482,-0.084377828,-1.754049295,-0.2214276,0.440687708,0.347099462,0.080238974
MMRF_1045_1_BM,-0.192733054,-0.154655956,-0.491808119,-0.912085024,0.397320662,-1.687629632,-1.36557858,1.154550953,-0.030209146,-2.606752303,-0.192753584,-1.251902039,-0.521435701,-1.816793994,-0.084274975,1.292626923,0.628738672,-1.186791839,-1.845129969,-1.690523223,0.089986828,1.0770598,1.57338987,0.297470215,0.105193784,0.261453668,-0.786178753,-0.324276365,0.418218128,-0.53612294,0.65411722,0.818614727,1.588995803,0.472019617,0.957099852,-0.692295309,0.227864462,-2.455700081,-1.917540101
